feature,coefficient,selected,split_id,target_column,alpha,l1_ratio,inner_cv_daily_cs_ic
z_return_5d,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_5d_rel_spy,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_5d_excess_rf,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_20d,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_20d_rel_spy,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_20d_excess_rf,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_60d_rel_spy,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_price_to_MA20,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_price_to_MA50,-0.00107643389549106,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_MA20_minus_MA50,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_volatility_20d,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_max_drawdown_60d,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_ATR_14,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_volume_change,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_relative_volume,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_RSI_14,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_market_beta_60d,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_idio_vol_60d,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Federal_Funds_Rate,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Treasury_10Y,-0.004097584793760669,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Yield_Spread_10Y2Y,0.0007576052260297383,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Breakeven_Inflation_10Y,-0.0011377933883743854,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_CPI,-0.0008582812672396069,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Unemployment_Rate,0.0013596628025454576,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_Financial_Conditions_Index,-0.002053354862099791,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_VIX,0.0014331279333415334,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_rate_sensitivity_beta,-0.0002641816254317918,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLC,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLE,-0.0007269147769621635,True,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLF,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLI,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLK,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLP,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLRE,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLU,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLV,-0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
ETF_XLY,0.0,False,1,target_5d_forward_return_raw,0.001,0.9,0.08654841093865485
z_return_5d,-0.0004795770970446247,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_5d_rel_spy,-4.310906978223438e-06,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_5d_excess_rf,-1.9356795296232254e-08,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_20d,0.0,False,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_20d_rel_spy,0.0,False,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_20d_excess_rf,0.0,False,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_return_60d_rel_spy,-0.0008888807955494408,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_price_to_MA20,-0.0010323820572642867,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_price_to_MA50,0.0023176929995145463,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_MA20_minus_MA50,-0.0008958856083976374,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_volatility_20d,0.0010156881067074795,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_max_drawdown_60d,-0.0016364050325585158,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_ATR_14,-0.006431460576364817,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_volume_change,-0.0003290134183445607,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_relative_volume,0.00016137544768224949,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_RSI_14,-0.0003989147462103024,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_market_beta_60d,-0.0020248099494527202,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_idio_vol_60d,-0.00026299289516735537,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Federal_Funds_Rate,0.0008402434217887153,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Treasury_10Y,-0.0013952854976784273,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Yield_Spread_10Y2Y,0.007158219164248845,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Breakeven_Inflation_10Y,-0.008119503783778636,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_CPI,-0.0009327651129809779,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Unemployment_Rate,0.0035376448989641006,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_Financial_Conditions_Index,-0.008036376667821947,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_VIX,-0.0032743113466535494,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
z_rate_sensitivity_beta,-0.002356742577329868,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLC,-0.0003208142420041978,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLE,0.00042187030534717026,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLF,-4.237577773277345e-05,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLI,0.002940648178234859,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLK,0.00034668990049830045,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLP,0.003025682447629785,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLRE,0.0009407791910219886,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
ETF_XLU,-0.0005077046664733829,True,2,target_5d_forward_return_raw,0.0001,0.3,0.0348848878394333
