feature,coefficient,selected,etf,split_id,target_column,alpha,l1_ratio,inner_cv_time_series_rank_ic
z_return_5d,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_5d_rel_spy,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_5d_excess_rf,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_20d,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_20d_rel_spy,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_20d_excess_rf,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_60d_rel_spy,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_price_to_MA20,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_price_to_MA50,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_MA20_minus_MA50,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_volatility_20d,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_max_drawdown_60d,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_ATR_14,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_volume_change,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_relative_volume,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_RSI_14,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_market_beta_60d,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_idio_vol_60d,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Federal_Funds_Rate,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Treasury_10Y,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Yield_Spread_10Y2Y,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Breakeven_Inflation_10Y,-0.0002745720370528201,True,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_CPI,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Unemployment_Rate,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_Financial_Conditions_Index,-0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_VIX,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_rate_sensitivity_beta,0.0,False,XLB,1,target_5d_forward_return_raw,0.01,0.7,0.29039406443137045
z_return_5d,-0.0028725704808084734,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_5d_rel_spy,-8.03397684933067e-05,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_5d_excess_rf,-1.120860328580587e-06,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_20d,-0.0029471076968001267,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_20d_rel_spy,-8.58630467075731e-05,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_20d_excess_rf,-1.2179301777361401e-06,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_60d_rel_spy,-0.0005043543659761126,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_price_to_MA20,-0.00544403654667386,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_price_to_MA50,-5.127072108490895e-06,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_MA20_minus_MA50,-0.005511689026747248,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_volatility_20d,-0.0016163823940557867,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_max_drawdown_60d,0.0003662625761359535,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_ATR_14,0.0038215358156172036,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_volume_change,-0.0,False,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_relative_volume,0.0004902499622771985,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_RSI_14,0.0006002343471200764,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_market_beta_60d,-0.001322109301811688,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_idio_vol_60d,0.0010220697526202728,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Federal_Funds_Rate,-0.0,False,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Treasury_10Y,-0.015791007075799623,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Yield_Spread_10Y2Y,0.003502353131428729,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Breakeven_Inflation_10Y,0.002070236762905923,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_CPI,0.0,False,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Unemployment_Rate,0.0037560877433348845,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_Financial_Conditions_Index,-0.0,False,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_VIX,0.005491156511429531,True,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_rate_sensitivity_beta,-0.0,False,XLC,1,target_5d_forward_return_raw,0.001,0.5,0.23568373377365445
z_return_5d,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_5d_rel_spy,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_5d_excess_rf,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_20d,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_20d_rel_spy,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_20d_excess_rf,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_60d_rel_spy,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_price_to_MA20,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_price_to_MA50,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_MA20_minus_MA50,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_volatility_20d,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_max_drawdown_60d,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_ATR_14,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_volume_change,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_relative_volume,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_RSI_14,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_market_beta_60d,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_idio_vol_60d,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Federal_Funds_Rate,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Treasury_10Y,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Yield_Spread_10Y2Y,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Breakeven_Inflation_10Y,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_CPI,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Unemployment_Rate,0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_Financial_Conditions_Index,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_VIX,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_rate_sensitivity_beta,-0.0,False,XLE,1,target_5d_forward_return_raw,0.01,0.7,0.16713440418014813
z_return_5d,-0.0024721846781475105,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_5d_rel_spy,-1.0940254207901274e-07,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_5d_excess_rf,-2.5279674783483923e-12,False,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_20d,-0.0020139143429080695,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_20d_rel_spy,-8.841836592653312e-08,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_20d_excess_rf,-2.0441890515992623e-12,False,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_return_60d_rel_spy,-0.0016137546582150751,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_price_to_MA20,0.021488140320562316,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
z_price_to_MA50,-0.018480029907696635,True,XLF,1,target_5d_forward_return_raw,1e-05,0.9,-0.10205203314224766
