feature,gain_importance,etf,split_id,target_column
z_return_5d,57,XLB,1,target_5d_forward_return_raw
z_return_5d_rel_spy,16,XLB,1,target_5d_forward_return_raw
z_return_5d_excess_rf,5,XLB,1,target_5d_forward_return_raw
z_return_20d,62,XLB,1,target_5d_forward_return_raw
z_return_20d_rel_spy,12,XLB,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLB,1,target_5d_forward_return_raw
z_return_60d_rel_spy,70,XLB,1,target_5d_forward_return_raw
z_price_to_MA20,63,XLB,1,target_5d_forward_return_raw
z_price_to_MA50,56,XLB,1,target_5d_forward_return_raw
z_MA20_minus_MA50,62,XLB,1,target_5d_forward_return_raw
z_volatility_20d,70,XLB,1,target_5d_forward_return_raw
z_max_drawdown_60d,8,XLB,1,target_5d_forward_return_raw
z_ATR_14,135,XLB,1,target_5d_forward_return_raw
z_volume_change,76,XLB,1,target_5d_forward_return_raw
z_relative_volume,62,XLB,1,target_5d_forward_return_raw
z_RSI_14,73,XLB,1,target_5d_forward_return_raw
z_market_beta_60d,52,XLB,1,target_5d_forward_return_raw
z_idio_vol_60d,30,XLB,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,77,XLB,1,target_5d_forward_return_raw
z_Treasury_10Y,140,XLB,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,84,XLB,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,103,XLB,1,target_5d_forward_return_raw
z_CPI,87,XLB,1,target_5d_forward_return_raw
z_Unemployment_Rate,82,XLB,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,75,XLB,1,target_5d_forward_return_raw
z_VIX,140,XLB,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,52,XLB,1,target_5d_forward_return_raw
z_return_5d,113,XLC,1,target_5d_forward_return_raw
z_return_5d_rel_spy,22,XLC,1,target_5d_forward_return_raw
z_return_5d_excess_rf,4,XLC,1,target_5d_forward_return_raw
z_return_20d,60,XLC,1,target_5d_forward_return_raw
z_return_20d_rel_spy,15,XLC,1,target_5d_forward_return_raw
