target_column,model,structure,n_obs,rmse,mae,r_squared,pearson_correlation,mean_time_series_ic,n_time_series_ic_etfs,mean_daily_cross_sectional_ic,daily_cs_ic_hac_t_stat,positive_daily_ic_rate,valid_daily_ic_dates,total_test_dates,hit_rate_at_1,hit_rate_at_1_random_baseline,hit_rate_at_1_vs_random,hit_rate_at_3,hit_rate_at_3_random_baseline,hit_rate_at_3_vs_random,overall_hit_rate_skill_vs_majority,overall_hit_rate,directional_coverage,actual_positive_rate,predicted_positive_rate,majority_sign_baseline
target_5d_forward_return_excess_spy,elastic_net,pooled,18370,0.021649823658641685,0.015719661890332796,-0.015180178172585101,0.021961238950585465,0.04062395210482618,11,0.022860040258701173,1.457284120213059,0.5269461077844312,1670,1670,0.08862275449101796,0.09090909090909091,-0.002286336418072951,0.2808383233532934,0.2727272727272727,0.008111050626020688,-0.006586826347305341,0.5084921066956996,1.0,0.4849210669569951,0.4812738160043549,0.5150789330430049
target_5d_forward_return_excess_spy,elastic_net,specialized,18370,0.023347635816053973,0.016941756520418804,-0.18064742329604622,0.03639947946714247,0.04528646224008282,11,0.037346682193387055,2.2579857212649497,0.5413173652694611,1670,1670,0.16167664670658682,0.09090909090909091,0.07076755579749591,0.3079840319361277,0.2727272727272727,0.035256759208855015,-0.009907457811649478,0.5051714752313554,1.0,0.4849210669569951,0.452367991290147,0.5150789330430049
target_5d_forward_return_excess_spy,historical_mean,baseline,18370,0.021545646513390977,0.015593707794759857,-0.0054337595572753195,-0.024030936135837858,-0.05018045872238621,11,-0.017224019878102653,-0.9518499828293003,0.4820359281437126,1670,1670,0.16047904191616766,0.09090909090909091,0.06956995100707675,0.280439121756487,0.2727272727272727,0.0077118490292142905,-0.002830702231899851,0.512248230811105,1.0,0.4849210669569951,0.2545454545454545,0.5150789330430049
target_5d_forward_return_excess_spy,lightgbm,pooled,18370,0.02262500151740639,0.016469187434289902,-0.10869384568547491,0.02494468080901863,0.0073814940130765274,11,0.009401743833454388,0.5935472311012681,0.5149700598802395,1670,1670,0.15508982035928143,0.09090909090909091,0.06418072945019052,0.30399201596806386,0.2727272727272727,0.03126474324079115,-0.015514425694066414,0.4995645073489385,1.0,0.4849210669569951,0.4618943930321176,0.5150789330430049
target_5d_forward_return_excess_spy,lightgbm,specialized,18370,0.024880963294869586,0.018598413439114763,-0.3408147654012881,0.022274588452880287,0.01810031306802176,11,0.0024441031897802054,0.15201571963105193,0.49760479041916167,1670,1670,0.13233532934131736,0.09090909090909091,0.04142623843222645,0.29001996007984027,0.2727272727272727,0.01729268735256756,-0.01731083287969515,0.49776810016330975,1.0,0.4849210669569951,0.4949373979314099,0.5150789330430049
target_5d_forward_return_excess_spy,zero_return,baseline,18370,0.02149272331234258,0.01557468728739656,-0.0005004732549447333,,,0,,,,0,1670,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.4849210669569951,,0.5150789330430049
target_5d_forward_return_raw,elastic_net,pooled,18370,0.033087014094337786,0.023439285215538862,-0.08812589265168635,0.07728139717105945,0.07316185170748106,11,0.02282193465173329,1.4549725605812276,0.5269461077844312,1670,1670,0.08862275449101796,0.09090909090909091,-0.002286336418072951,0.2808383233532934,0.2727272727272727,0.008111050626020688,-0.03200870985302129,0.5337506804572673,1.0,0.5657593903102885,0.5566140446379967,0.5657593903102885
target_5d_forward_return_raw,elastic_net,specialized,18370,0.03682867809459026,0.02568337554978127,-0.34814390793103533,0.0561617619107166,0.050986869914036496,11,0.02682125124730984,1.9916281395057038,0.5431137724550898,1670,1670,0.1497005988023952,0.09090909090909091,0.058791507893304285,0.3,0.2727272727272727,0.027272727272727282,-0.030919978225367517,0.534839412084921,1.0,0.5657593903102885,0.6663581927054981,0.5657593903102885
target_5d_forward_return_raw,historical_mean,baseline,18370,0.031767770825436095,0.022163311182204604,-0.0030843945361629377,-0.019740068779796366,-0.0445009344368316,11,-0.017224019878102653,-0.9518499828293003,0.4820359281437126,1670,1670,0.16047904191616766,0.09090909090909091,0.06956995100707675,0.280439121756487,0.2727272727272727,0.0077118490292142905,-0.0029395753946652725,0.5628198149156233,1.0,0.5657593903102885,0.9636363636363636,0.5657593903102885
target_5d_forward_return_raw,lightgbm,pooled,18370,0.034370890751676215,0.02462400944736259,-0.17420943761485885,0.0658275431273705,0.059407775968707166,11,0.021151712332022312,1.2902041058500668,0.5221556886227545,1670,1670,0.15269461077844312,0.09090909090909091,0.06178551986935221,0.30099800399201593,0.2727272727272727,0.02827073126474322,-0.044692433315187796,0.5210669569951007,1.0,0.5657593903102885,0.5335329341317365,0.5657593903102885
target_5d_forward_return_raw,lightgbm,specialized,18370,0.03638399557448233,0.026052755435012755,-0.31578451859432954,0.04289342273513933,0.05020055748999574,11,0.007174791083389703,0.4702962243096395,0.5101796407185629,1670,1670,0.14311377245508983,0.09090909090909091,0.052204681545998916,0.29061876247504986,0.2727272727272727,0.017891489747777156,-0.05813826891671203,0.5076211213935765,1.0,0.5657593903102885,0.5076211213935765,0.5657593903102885
target_5d_forward_return_raw,zero_return,baseline,18370,0.031841494135735615,0.02234167593504253,-0.007745502864981102,,,0,,,,0,1670,,0.09090909090909091,,,0.2727272727272727,,,,0.0,0.5657593903102885,,0.5657593903102885
